# DiscoverSubnet Version 2.18 Report
# Generated: 2025-10-09 11:30:06
# IP Ranges Scanned: 192.168.12.20-25,192.168.12.48-50,192.168.12.90-93,192.168.12.120-123,192.168.12.169-185
# SNMP Community: medialinks
# Max Parallel Scans: 10
# Total Devices Found: 11
#
"Name";"Location";"Type";"IPs"
"[No Response]";"[No Response]";"NO_PING";"192.168.12.120, 192.168.12.123, 192.168.12.169, 192.168.12.172, 192.168.12.174, 192.168.12.177, 192.168.12.178, 192.168.12.179, 192.168.12.180, 192.168.12.183, 192.168.12.184, 192.168.12.185, 192.168.12.20, 192.168.12.25, 192.168.12.48, 192.168.12.50, 192.168.12.90, 192.168.12.93"
"48X6C-1";"MLI-LAB Windor";"  MDX-48X6C";"192.168.12.91"
"[No Name Found]";"[No Location Found]";"UNKNOWN";"192.168.12.21, 192.168.12.22, 192.168.12.23, 192.168.12.24, 192.168.12.49"
"48X6C-2";"MLI-LAB Windor";"  MDX-48X6C";"192.168.12.92"
"MDP3020_0000000115";"Windsor";"MDP3020";"192.168.12.121"
"MDP3020_M310000251";"Windsor";"MDP3020";"192.168.12.122"
"CNN";"MLI-LAB Windor";"     MD8000EX";"192.168.12.170, 192.168.12.171"
"ABC";"MLI-LAB Windor Windor";"      MD8000";"192.168.12.175, 192.168.12.176"
"32C-1";"MLI-LAB Windor";"  MDX-32C";"192.168.12.181"
"32C-2";"MLI-LAB Windor";"  MDX-32C";"192.168.12.182"
"2040 1";"Switches";"MDX2040";"192.168.12.173"
